,neighbourhood,dist
1817,northwest,0.11619973620933073
678,north,0.06660703211462975
3527,farnorth,0.13588392787640113
1750,central,0.01370574854285304
3935,south,0.12541426546896522
2095,west,0.05257218693491548
4506,west,0.0970726651901555
1246,north,0.07040375779118067
1963,southwest,0.09096324364885304
1951,north,0.06880235576722003
165,farnorth,0.1101906559337922
3305,central,0.023653150300115118
4594,north,0.08373889638106764
4589,north,0.07125298157353734
2032,north,0.0828400502119521
4786,west,0.04676732790227853
2167,south,0.04003150827935536
3404,central,0.01265893988926099
1606,northwest,0.17121338786180457
4733,north,0.0974771973700412
230,central,0.020270833606929065
4919,central,0.016993380567742824
6418,west,0.04077650096104437
1495,farnorth,0.09093959392431715
2950,north,0.06869701588219891
3268,central,0.012329558593881422
571,south,0.10243487807930012
3259,west,0.07427182065305263
6308,central,0.013080023819551914
5321,north,0.04354222143069308
1926,north,0.09630978246844342
2197,west,0.028424734846955336
4583,west,0.08991061080384165
6442,south,0.08906357123784321
1850,west,0.06210032076502995
1300,west,0.03227526915642716
885,central,0.012939825312576831
4775,north,0.06246386698820279
2340,west,0.055704081566075626
